Start;Duration;Pitch;Velocity;Instrument
73.125000;0.123958;61;73;piano
73.500000;0.123958;50;74;piano
73.500000;0.123958;62;74;piano
73.625000;0.123958;50;74;piano
73.625000;0.123958;62;74;piano
74.000000;0.123958;51;75;piano
74.000000;0.123958;63;75;piano
74.125000;0.123958;51;76;piano
74.125000;0.123958;63;76;piano
74.500000;0.123958;52;76;piano
74.500000;0.123958;64;76;piano
74.625000;0.123958;52;78;piano
74.625000;0.123958;64;78;piano
75.000000;0.123958;53;82;piano
75.000000;0.123958;65;82;piano
75.125000;0.123958;53;85;piano
75.125000;0.123958;65;85;piano
75.500000;0.123958;54;90;piano
75.500000;0.123958;66;90;piano
75.625000;0.123958;54;92;piano
75.625000;0.123958;66;92;piano
76.000000;0.123958;55;97;piano
76.000000;0.123958;67;97;piano
76.125000;0.123958;55;98;piano
76.125000;0.123958;67;98;piano
76.500000;0.123958;56;104;piano
76.500000;0.123958;68;104;piano
76.625000;0.123958;56;105;piano
76.625000;0.123958;68;105;piano
77.000000;0.123958;57;111;piano
77.000000;0.123958;69;111;piano
77.125000;0.123958;57;115;piano
77.125000;0.123958;69;115;piano
77.500000;0.123958;62;105;piano
77.500000;0.123958;74;105;piano
77.625000;0.123958;62;100;piano
77.625000;0.123958;74;100;piano
78.000000;0.123958;60;96;piano
78.000000;0.123958;72;96;piano
78.125000;0.123958;60;96;piano
78.125000;0.123958;72;96;piano
78.500000;0.123958;59;96;piano
78.500000;0.123958;71;96;piano
78.625000;0.123958;59;96;piano
78.625000;0.123958;71;96;piano
79.000000;0.123958;58;96;piano
79.000000;0.123958;70;96;piano
79.125000;0.123958;58;96;piano
79.125000;0.123958;70;96;piano
79.500000;0.123958;57;96;piano
79.500000;0.123958;69;96;piano
79.625000;0.123958;57;96;piano
79.625000;0.123958;69;96;piano
80.000000;0.123958;56;96;piano
80.000000;0.123958;68;96;piano
80.125000;0.123958;56;96;piano
80.125000;0.123958;68;96;piano
